strategy,threshold,abstained_pct,kept_n,accuracy_kept
A1: vocab-coverage,0.0,0.0,5000,0.556
A1: vocab-coverage,0.049999999999999996,0.12,4994,0.5565
A1: vocab-coverage,0.09999999999999999,0.12,4994,0.5565
A1: vocab-coverage,0.15,0.12,4994,0.5565
A1: vocab-coverage,0.19999999999999998,0.14,4993,0.5564
A1: vocab-coverage,0.24999999999999997,0.16,4992,0.5563
A1: vocab-coverage,0.3,0.18,4991,0.5562
A1: vocab-coverage,0.35,0.36,4982,0.5564
A1: vocab-coverage,0.39999999999999997,0.38,4981,0.5565
A1: vocab-coverage,0.44999999999999996,0.54,4973,0.5566
A1: vocab-coverage,0.49999999999999994,0.62,4969,0.5562
A1: vocab-coverage,0.5499999999999999,1.32,4934,0.5563
A1: vocab-coverage,0.6,1.76,4912,0.5558
A1: vocab-coverage,0.6499999999999999,2.88,4856,0.5558
A1: vocab-coverage,0.7,4.46,4777,0.5547
A1: vocab-coverage,0.7499999999999999,6.8,4660,0.5536
A1: vocab-coverage,0.7999999999999999,10.02,4499,0.5512
A1: vocab-coverage,0.85,15.76,4212,0.5496
A1: vocab-coverage,0.8999999999999999,22.46,3877,0.5497
A1: vocab-coverage,0.95,29.9,3505,0.5484
Baseline: MaxProb,0.0,0.0,5000,0.556
Baseline: MaxProb,0.049999999999999996,0.0,5000,0.556
Baseline: MaxProb,0.09999999999999999,0.0,5000,0.556
Baseline: MaxProb,0.15,0.0,5000,0.556
Baseline: MaxProb,0.19999999999999998,0.0,5000,0.556
Baseline: MaxProb,0.24999999999999997,0.0,5000,0.556
Baseline: MaxProb,0.3,0.0,5000,0.556
Baseline: MaxProb,0.35,0.0,5000,0.556
Baseline: MaxProb,0.39999999999999997,0.0,5000,0.556
Baseline: MaxProb,0.44999999999999996,0.0,5000,0.556
Baseline: MaxProb,0.49999999999999994,0.0,5000,0.556
Baseline: MaxProb,0.5499999999999999,0.82,4959,0.5556
Baseline: MaxProb,0.6,1.98,4901,0.5568
Baseline: MaxProb,0.6499999999999999,3.14,4843,0.5583
Baseline: MaxProb,0.7,4.08,4796,0.5584
Baseline: MaxProb,0.7499999999999999,5.36,4732,0.5598
Baseline: MaxProb,0.7999999999999999,6.82,4659,0.5608
Baseline: MaxProb,0.85,8.68,4566,0.5618
Baseline: MaxProb,0.8999999999999999,11.26,4437,0.5637
Baseline: MaxProb,0.95,15.92,4204,0.5657
